Target,Assay,Conc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
NDM-1,CPE_5_plex,10000,0.0449924,0.0457944,0.0461927,0.0466594,0.0468337,0.0470721,0.0470891,0.0472218,0.0473518,0.0474733,0.0475795,0.0476448,0.0476884,0.0477762,0.0479797,0.0480399,0.0482255,0.0484194,0.0487549,0.0491478,0.0502688,0.0520725,0.0554334,0.061873,0.0738203,0.0950264,0.130357,0.18183,0.243885,0.305473,0.359581,0.403428,0.43772,0.462049,0.478131,0.487688,0.493608,0.496768,0.499101,0.50028,0.502366,0.50323,0.505174,0.505998,0.507595
NDM-1,CPE_5_plex,10000,0.0497954,0.050692,0.0509638,0.0511515,0.0514992,0.0514991,0.0516689,0.0517933,0.0518478,0.051842,0.0520276,0.0522054,0.0521669,0.0523141,0.0523151,0.0525042,0.0528324,0.0531181,0.0537571,0.0549988,0.0572503,0.0613234,0.0693209,0.0837752,0.109593,0.150298,0.204331,0.264751,0.319323,0.36513,0.40081,0.427412,0.446484,0.457921,0.46553,0.470249,0.473659,0.475886,0.477733,0.47848,0.479938,0.481674,0.483069,0.484716,0.485589
NDM-1,CPE_5_plex,100000,0.0491972,0.050435,0.0511731,0.0515384,0.0518428,0.0520808,0.0522721,0.052445,0.0526982,0.0526692,0.0529298,0.0529087,0.0530117,0.0531974,0.0534827,0.0540826,0.0544826,0.0557353,0.0580337,0.0617779,0.0690277,0.0825939,0.106227,0.144667,0.198258,0.259185,0.31852,0.368678,0.409521,0.440137,0.461999,0.47623,0.483897,0.489103,0.492323,0.494217,0.495946,0.497801,0.49946,0.50095,0.502691,0.504356,0.50542,0.506606,0.508194
NDM-1,CPE_5_plex,100000,0.0440888,0.0446914,0.0450817,0.0453866,0.0455257,0.0459447,0.0459193,0.0461958,0.0462556,0.0464684,0.0464893,0.0465095,0.0468386,0.0468832,0.047338,0.0480821,0.0490879,0.0513549,0.0559511,0.0638369,0.0788936,0.105108,0.146621,0.202592,0.263588,0.319038,0.364674,0.399901,0.425684,0.443769,0.455219,0.462308,0.466944,0.469184,0.471401,0.47381,0.475237,0.476801,0.478281,0.479739,0.481182,0.482868,0.48429,0.485774,0.487484
NDM-1,CPE_5_plex,1000000,0.0413214,0.0421257,0.0426106,0.0431915,0.0432963,0.0434427,0.0436451,0.0437372,0.0439477,0.044067,0.0441891,0.0442934,0.0450865,0.0457892,0.0473902,0.0504818,0.0568094,0.0683312,0.0882824,0.122418,0.171467,0.230786,0.288372,0.339012,0.378784,0.410087,0.432215,0.446519,0.455703,0.461756,0.465021,0.468103,0.469916,0.472031,0.474221,0.475963,0.477668,0.479047,0.481173,0.483032,0.484926,0.486888,0.488391,0.4902,0.492156
NDM-1,CPE_5_plex,1000000,0.0429816,0.0432073,0.0436869,0.043834,0.0443224,0.0442617,0.0443307,0.0446619,0.0446795,0.0448615,0.0451857,0.0457025,0.0463112,0.047737,0.0501893,0.0550865,0.0643841,0.0812773,0.110579,0.154973,0.212503,0.272252,0.325319,0.367992,0.401058,0.424947,0.441059,0.451915,0.458585,0.462381,0.465603,0.46805,0.470183,0.471556,0.473363,0.475719,0.477396,0.478995,0.480946,0.482617,0.484843,0.48664,0.488856,0.490003,0.492411
NDM-1,CPE_5_plex,10000000,0.0440584,0.0446616,0.0452635,0.0458575,0.0459666,0.046399,0.0465911,0.0469375,0.0471925,0.0480455,0.0492465,0.05187,0.0566058,0.065453,0.0818379,0.110076,0.153363,0.210062,0.270028,0.323696,0.367594,0.400635,0.423957,0.439248,0.450786,0.456807,0.458324,0.462342,0.463749,0.46562,0.464344,0.470239,0.472601,0.474998,0.477329,0.479642,0.48179,0.483837,0.485952,0.487739,0.489624,0.491966,0.495264,0.497256,0.499334
NDM-1,CPE_5_plex,10000000,0.0435868,0.0446144,0.0449631,0.0453783,0.0457091,0.0457837,0.0462123,0.0467724,0.0470918,0.0481014,0.0497828,0.0529826,0.0591285,0.0705435,0.0910847,0.125178,0.172923,0.229277,0.283342,0.329007,0.365851,0.393668,0.413166,0.426583,0.435265,0.441213,0.445235,0.447877,0.450524,0.453086,0.455404,0.457398,0.459152,0.461502,0.463766,0.465628,0.467369,0.469258,0.471365,0.472775,0.474722,0.476448,0.478169,0.479804,0.481851
OXA-48,CPE_5_plex,10,0.0417218,0.0421204,0.0426665,0.0431419,0.0433279,0.0435845,0.0437699,0.0439649,0.0440777,0.0442032,0.0445621,0.0445349,0.0447634,0.0445587,0.0448435,0.044845,0.0449773,0.0450753,0.0453192,0.0453333,0.0454386,0.0455241,0.0456147,0.0456631,0.0458995,0.0461182,0.0460626,0.0461318,0.0460886,0.0461725,0.0464592,0.0464446,0.0465641,0.0466218,0.0468925,0.0472855,0.0471367,0.0471624,0.047504,0.0474162,0.0475228,0.0476877,0.0478973,0.0479262,0.0479139
OXA-48,CPE_5_plex,10,0.0450836,0.0459238,0.0467562,0.0471549,0.047359,0.0477625,0.0477667,0.0480362,0.0480741,0.0483209,0.0482004,0.0484332,0.048544,0.0484937,0.0487423,0.0485844,0.0487275,0.0491178,0.0491327,0.0490893,0.0491854,0.0492289,0.0492514,0.0493657,0.0493778,0.0496009,0.0497927,0.0497013,0.0496402,0.0498353,0.0498223,0.0498769,0.0500836,0.0502268,0.0502155,0.0503796,0.0505103,0.0506138,0.0507838,0.0509153,0.0509496,0.0510553,0.0512266,0.0510575,0.051212
